                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97017,                 1.0078,                 1.1372,                  0.693,                0.69649,                0.69467,                 0.5281,                0.73594,                0.54928,                0.94667,              0.0033301,              0.0033301,              0.0033301
                      2,                0.78985,                0.55724,                 1.0028,                0.67772,                0.71441,                0.71457,                0.53061,                0.77501,                0.60333,                0.97411,              0.0066628,              0.0066628,              0.0066628
                      3,                0.82388,                0.57537,                 1.0194,                0.74052,                0.70903,                0.71615,                0.52595,                 0.7994,                0.62688,                 1.0002,              0.0099948,              0.0099948,              0.0099948
                      4,                0.82418,                0.57049,                 1.0248,                0.75729,                0.74706,                0.77401,                0.57042,                0.77723,                0.57217,                 0.9926,               0.009997,               0.009997,               0.009997
                      5,                0.78744,                0.53211,                 1.0091,                0.76077,                0.74752,                0.75456,                0.56897,                0.74493,                0.56804,                0.97422,               0.009996,               0.009996,               0.009996
                      6,                0.76007,                 0.5069,                0.99897,                0.77735,                0.81249,                0.80834,                0.62188,                0.74088,                0.55374,                0.97623,              0.0099951,              0.0099951,              0.0099951
                      7,                0.74195,                0.48437,                0.98981,                0.74445,                0.81483,                 0.7884,                0.61827,                0.71764,                 0.4915,                0.96035,              0.0099941,              0.0099941,              0.0099941
                      8,                0.72517,                0.46948,                0.98105,                0.75962,                0.83363,                0.80456,                0.62597,                 0.7048,                0.49386,                0.95358,              0.0099931,              0.0099931,              0.0099931
                      9,                0.71295,                0.45541,                0.97916,                0.70511,                 0.8514,                0.80584,                0.63729,                0.68793,                0.47803,                0.93742,              0.0099921,              0.0099921,              0.0099921
                     10,                0.70232,                0.44632,                0.97293,                0.76763,                0.86636,                0.83103,                0.65644,                0.67391,                0.45397,                0.93562,              0.0099911,              0.0099911,              0.0099911
                     11,                0.69192,                0.43612,                0.96875,                0.76038,                0.81053,                 0.8162,                0.64437,                0.68623,                0.50184,                0.94542,              0.0099901,              0.0099901,              0.0099901
                     12,                0.68732,                0.42914,                0.96834,                 0.7404,                0.85011,                0.80596,                0.64599,                0.68956,                0.49151,                0.93691,              0.0099891,              0.0099891,              0.0099891
                     13,                0.68092,                 0.4213,                 0.9623,                0.76189,                0.84511,                0.83025,                0.66762,                0.66836,                0.46718,                 0.9292,              0.0099881,              0.0099881,              0.0099881
                     14,                0.67509,                0.41418,                 0.9599,                0.79638,                0.83626,                0.85156,                0.68645,                0.67563,                0.47259,                0.93866,              0.0099871,              0.0099871,              0.0099871
                     15,                 0.6688,                0.40888,                 0.9578,                0.78586,                0.85418,                0.83808,                0.67882,                0.64411,                0.43663,                0.91448,              0.0099861,              0.0099861,              0.0099861
                     16,                0.66367,                0.40571,                0.95435,                0.80575,                0.86774,                0.86065,                0.69696,                0.65389,                0.43842,                 0.9276,              0.0099851,              0.0099851,              0.0099851
                     17,                0.66134,                0.40154,                0.95436,                 0.7785,                0.87007,                0.84164,                0.67978,                0.66794,                0.44885,                0.92386,              0.0099842,              0.0099842,              0.0099842
                     18,                0.65688,                0.39791,                0.95211,                0.80718,                0.87315,                0.85893,                0.69761,                0.64448,                0.42062,                 0.9134,              0.0099832,              0.0099832,              0.0099832
                     19,                0.65334,                 0.3941,                 0.9515,                0.75601,                0.88646,                0.84211,                0.68753,                0.63877,                0.42937,                0.91258,              0.0099822,              0.0099822,              0.0099822
                     20,                0.64954,                0.38989,                0.95046,                0.77352,                0.90128,                0.85392,                0.70612,                0.64137,                0.42028,                0.91525,              0.0099812,              0.0099812,              0.0099812
                     21,                0.64583,                0.38707,                0.94959,                0.78214,                 0.8782,                0.85281,                0.69985,                0.63701,                0.44052,                0.91169,              0.0099802,              0.0099802,              0.0099802
                     22,                0.64416,                 0.3847,                  0.947,                0.76013,                0.90037,                0.84836,                0.70061,                0.63288,                0.42449,                0.91103,              0.0099792,              0.0099792,              0.0099792
                     23,                0.64165,                0.38225,                0.94604,                0.78996,                 0.8781,                0.85564,                 0.7085,                0.62763,                0.42586,                0.90756,              0.0099782,              0.0099782,              0.0099782
                     24,                0.63704,                0.38097,                0.94567,                0.80213,                0.87887,                0.86227,                0.71125,                 0.6275,                 0.3992,                0.90634,              0.0099772,              0.0099772,              0.0099772
                     25,                0.63385,                0.37663,                0.94277,                0.78011,                0.89171,                0.85252,                0.71052,                0.63071,                0.41213,                0.91603,              0.0099762,              0.0099762,              0.0099762
                     26,                0.63328,                  0.376,                0.94208,                0.75634,                0.90385,                0.84441,                0.70257,                    inf,                0.39598,                0.90222,              0.0099753,              0.0099753,              0.0099753
                     27,                0.63039,                0.37404,                0.94141,                0.79792,                  0.891,                0.85176,                 0.7032,                0.62235,                0.40479,                0.90703,              0.0099743,              0.0099743,              0.0099743
                     28,                0.62847,                0.37127,                0.94115,                0.78017,                0.92311,                0.87393,                0.72437,                0.61567,                0.38903,                0.90262,              0.0099733,              0.0099733,              0.0099733
                     29,                 0.6249,                0.36723,                0.94133,                0.74488,                0.86838,                 0.8591,                0.71902,                0.61783,                0.40226,                0.90488,              0.0099723,              0.0099723,              0.0099723
                     30,                0.62376,                0.36725,                0.93726,                0.77541,                0.90971,                0.85015,                0.71045,                0.61459,                0.39755,                0.89655,              0.0099713,              0.0099713,              0.0099713
                     31,                 0.6217,                0.36474,                0.93703,                0.77437,                0.91509,                0.86186,                0.72001,                0.60598,                 0.3789,                0.89171,              0.0099703,              0.0099703,              0.0099703
                     32,                0.62076,                0.36452,                 0.9379,                0.77885,                0.91893,                0.85454,                0.71275,                0.61464,                0.39378,                 0.8996,              0.0099693,              0.0099693,              0.0099693
                     33,                0.61893,                0.36233,                0.93469,                0.77697,                0.90832,                0.85502,                0.71767,                0.60948,                0.40421,                 0.8959,              0.0099683,              0.0099683,              0.0099683
                     34,                0.61582,                0.35978,                0.93541,                0.77498,                0.90999,                0.86204,                0.72924,                0.60977,                0.40096,                0.89318,              0.0099673,              0.0099673,              0.0099673
                     35,                0.61436,                0.35898,                0.93506,                0.76585,                0.89789,                0.86346,                0.72162,                0.60625,                0.40084,                0.89225,              0.0099663,              0.0099663,              0.0099663
                     36,                0.61433,                0.35782,                0.93475,                0.76935,                0.88495,                0.85092,                0.71492,                0.60649,                0.40092,                0.89759,              0.0099654,              0.0099654,              0.0099654
                     37,                0.60992,                 0.3567,                0.93388,                0.75437,                0.91152,                0.85921,                0.72678,                0.60178,                 0.3884,                0.89268,              0.0099644,              0.0099644,              0.0099644
                     38,                0.61068,                0.35538,                0.93163,                0.76984,                0.91336,                 0.8636,                0.72949,                0.59892,                0.37944,                0.88957,              0.0099634,              0.0099634,              0.0099634
                     39,                0.60905,                0.35541,                0.93298,                0.76171,                0.88199,                0.85344,                0.72318,                 0.5975,                0.38259,                0.88893,              0.0099624,              0.0099624,              0.0099624
                     40,                0.60763,                0.35279,                0.93082,                0.76947,                0.89599,                0.85929,                0.72667,                0.60306,                0.38424,                0.89451,              0.0099614,              0.0099614,              0.0099614
                     41,                 0.6067,                0.35158,                0.93207,                0.73546,                0.93033,                0.85793,                0.72875,                0.59386,                0.37704,                  0.889,              0.0099604,              0.0099604,              0.0099604
                     42,                0.60587,                0.35169,                0.93124,                0.75519,                0.91425,                0.86046,                0.73326,                0.59378,                0.37577,                 0.8881,              0.0099594,              0.0099594,              0.0099594
                     43,                0.60375,                0.34901,                0.93069,                0.75836,                0.92185,                0.86741,                0.73719,                    inf,                0.37934,                0.89036,              0.0099584,              0.0099584,              0.0099584
                     44,                0.60123,                 0.3495,                0.93078,                0.76851,                0.89778,                0.87044,                0.74329,                0.59567,                0.37929,                0.89046,              0.0099574,              0.0099574,              0.0099574
                     45,                0.60022,                0.34719,                 0.9305,                0.76403,                0.90307,                0.86775,                0.74148,                 0.5932,                0.37697,                0.88759,              0.0099564,              0.0099564,              0.0099564
                     46,                0.59859,                0.34689,                0.92845,                0.75239,                0.91413,                0.86617,                0.74472,                0.59088,                0.37484,                0.88586,              0.0099555,              0.0099555,              0.0099555
                     47,                0.59731,                0.34506,                0.92749,                0.75988,                0.92045,                0.87033,                0.74411,                0.58866,                0.37772,                0.88435,              0.0099545,              0.0099545,              0.0099545
                     48,                 0.5955,                0.34543,                0.92574,                 0.7647,                0.91226,                0.86961,                 0.7413,                 0.5888,                 0.3779,                0.88542,              0.0099535,              0.0099535,              0.0099535
                     49,                0.59565,                0.34153,                0.92828,                0.75717,                 0.9174,                0.87062,                0.74353,                0.58759,                0.37809,                0.88509,              0.0099525,              0.0099525,              0.0099525
                     50,                0.59349,                0.34192,                0.92571,                 0.7619,                0.91713,                0.87019,                0.74795,                0.59137,                0.38102,                0.88787,              0.0099515,              0.0099515,              0.0099515
                     51,                0.59212,                0.34104,                0.92617,                0.76054,                0.91695,                0.86792,                0.74508,                 0.5897,                0.37677,                0.88667,              0.0099505,              0.0099505,              0.0099505
                     52,                0.59219,                0.34113,                0.92446,                 0.7567,                0.91642,                0.86567,                0.74124,                0.58925,                0.37686,                0.88614,              0.0099495,              0.0099495,              0.0099495
                     53,                0.59019,                 0.3406,                0.92512,                0.76336,                0.91752,                 0.8636,                0.73799,                0.59022,                0.37883,                0.88715,              0.0099485,              0.0099485,              0.0099485
                     54,                0.58969,                0.33924,                0.92484,                0.76735,                0.91634,                 0.8646,                0.73726,                0.59023,                0.37722,                0.88745,              0.0099475,              0.0099475,              0.0099475
                     55,                0.58974,                0.33999,                0.92473,                0.76039,                0.92694,                0.86581,                0.74023,                0.58857,                0.37677,                0.88571,              0.0099465,              0.0099465,              0.0099465
                     56,                0.58829,                0.33777,                0.92306,                 0.7596,                0.92503,                0.86717,                0.74084,                 0.5876,                0.37489,                0.88496,              0.0099456,              0.0099456,              0.0099456
                     57,                0.58867,                0.33959,                0.92419,                0.76221,                0.92636,                0.86901,                0.74351,                0.58714,                0.37242,                0.88469,              0.0099446,              0.0099446,              0.0099446
                     58,                0.58546,                0.33702,                0.92365,                  0.766,                0.92792,                0.86757,                0.74178,                 0.5865,                0.37131,                0.88382,              0.0099436,              0.0099436,              0.0099436
                     59,                0.58492,                0.33586,                0.92384,                0.76633,                0.92358,                0.86636,                0.74126,                  0.586,                 0.3709,                0.88313,              0.0099426,              0.0099426,              0.0099426
                     60,                 0.5863,                 0.3353,                0.92421,                0.76036,                0.91797,                0.86517,                0.74179,                0.58591,                0.37189,                0.88286,              0.0099416,              0.0099416,              0.0099416
                     61,                0.58536,                0.33576,                0.92333,                 0.7587,                0.91847,                0.86388,                0.74168,                0.58683,                0.37384,                0.88353,              0.0099406,              0.0099406,              0.0099406
                     62,                0.58499,                0.33497,                0.92349,                0.75991,                0.91711,                0.86486,                 0.7432,                0.58738,                0.37518,                0.88413,              0.0099396,              0.0099396,              0.0099396
                     63,                0.58285,                 0.3342,                 0.9222,                0.75919,                0.91655,                0.86517,                0.74374,                0.58738,                0.37446,                0.88448,              0.0099386,              0.0099386,              0.0099386
                     64,                0.58192,                0.33281,                0.92021,                0.75588,                0.91892,                0.86452,                0.74322,                0.58735,                0.37328,                0.88461,              0.0099376,              0.0099376,              0.0099376
                     65,                0.58313,                0.33356,                0.92212,                0.74959,                0.92066,                0.86503,                0.74537,                0.58765,                0.37525,                0.88512,              0.0099366,              0.0099366,              0.0099366
                     66,                0.58075,                0.33198,                0.92218,                0.74555,                0.92244,                0.86551,                0.74558,                0.58723,                0.37602,                0.88494,              0.0099357,              0.0099357,              0.0099357
                     67,                0.57934,                0.33205,                0.91931,                0.74385,                0.92042,                0.86581,                0.74551,                0.58733,                0.37799,                0.88517,              0.0099347,              0.0099347,              0.0099347
                     68,                0.57768,                 0.3319,                0.92162,                0.74281,                0.92034,                 0.8658,                0.74527,                0.58687,                0.37925,                0.88526,              0.0099337,              0.0099337,              0.0099337
                     69,                0.57839,                0.33151,                0.92025,                0.74158,                0.91721,                0.86555,                0.74483,                0.58651,                 0.3796,                0.88516,              0.0099327,              0.0099327,              0.0099327
                     70,                0.57753,                0.33164,                0.91858,                0.74406,                0.91447,                0.86532,                0.74471,                0.58615,                0.37881,                0.88486,              0.0099317,              0.0099317,              0.0099317
